,0
0,doctor hit campaign trail race medical council election heat
1,anybody go radio station tomorrow shawn friend like new friend meet
2,find naruto not 5th hokage
3,prince george reservist die saturday want help people father tell
4,season sun versi nirvana rancak gak slow rockkk
5,not sun lady gaga
6,cute
7,today international day elimination violence woman
8,game april david wright go for5 hr bb r monday error
9,josh hamilton fly center go 9th tie
10,watch trump protest shut part new york city
11,want basse try dark soul vid dark souls ii giant 1st boss
12,hour shift consist think ed sheeran tomorrow
13,seriously debate go paper town tomorrow
14,pay back senior citizen medicare service shame
15,stop post picture january charlie hebdo attack not tonight
16,david price toronto blue jays offense
17,buy scuba suit underwater scene sharknado tomorrow
18,kanye west carry speech
19,export british value liberty democracy look like
20,good description maduro pin head thank
21,new  niall yous open today today sept
22,cover homeopathy
23,assad troop take percent rebel hold aleppo russia say
24,death death no
25,not go not true muslim criminal not mean islam evil
26,hi guy new iron maiden vinyl tomorrow
27,directly address american people info website news video
28,year leave planet sun ra premiere tone poem new york town feature section like twilight central park
29,fun friday mashup gt nelly hot mash bee gee stayin alive
30,rally beath white sox tuesday night
31,teen kid say old dude paul mccartney chance music biz hahaha sooo green
32,officially pga week dustin johnson 2nd time pick
33,donate 
34,happy birthday dude jason aldean bout live come 5th
35,end problem laundering currency conversion problem
36,luke2 emily gilmore3 sukie4 paris
37,go fabrique milan italy apr
38,u2 concert park long week chillin family 10th grade flashback
39,fact listen zac brown band gloomy day sun come
40,happy friday national hot dog day not mean not hot dog recipe fun
41,ivanka play flotus preselect drumpf ivanka drumpf white house aoto fill melania aos vacancy ao
42,tim duncan play season able savage uoi
43,nakita akong 5sos vamps shirt want want want
44,scotland v germany tonight foo fighter tomorrow pile work meantime coffee run
45,reason know john cena bully 3rd grade write sharpie backpack
46,picture january charlie hebdo attack
47,tristan mcdaniel score yard milan lead humboldt leave 1st
48,wait maduro turn
49,tor beat min david price debut jay tie 2nd wild card twin o gb
50,win golf tournament 1st day dustin johnson major
51,undertaker go tombstone shit brock lesnar sunday
52,persuasive speech depression pro con death penalty
53,saturday day hour minute second ed sheeran atl
54,cheeto nazi mad fat ass look like tub curdle orange mayo picture oh
55,research paper minimum wage literally write subject make hard uo
56,focus step step implement program
57,vid hide valuable inside hollow decorative candle
58,hillary clinton caitlyn jenner nobel peace prize winner malala yousafzai kick 13th season
59,crazy thing deep learning topological datum analysis datum
60,idea write christian god totally not willingtothink
61,fuckin kendrick lamar black friday
62,wwe monday raw goat john cena
63,hard year addition lose leonard cohen david bowie californian lose peter tosh legalize rip
64,sushi coworker apparently go la 24th stick cover star war day
65,ff fall asleep open position murray 4th set
66,10th hole good birdie hole dustin johnson birdie 10th 1st hole 1
67,think frank ocean release november music great summer
68,riverside yoga race street pier awesome way start day go long run sunday funday tonight
69,reporter visit islamic state terrirory
70,thankfully nice peaceful thanksgiving
71,win ticket ms janet jackson live afternoon richard ryder janet jackson live september
72,awesome have gay marriage tomorrow
73,thank curtis hope awesome friday 13th
74,language different kpop genre western music stop act like outer space
75,seriously asheville friday work dunkin west asheville mean coolatta
76,hope sharknado start save april
77,go
78,crack 3rd party downloadable game ps4 long term console okish game mo go
79,suppose look like electoral college map need point
80,semper entertainment bring nirvana time stand good djs metro august
81,weird guy euthanasia  suicide marriage equality  marry goat safe school  ap
82,ceo say plenty kingston ma say not
83,evening july paul mccartney introduce john lennon time
84,idiot trump meeting potus transition obama try improve shi image military
85,brendan ryan dodger w david price oppose pitcher purposely swing fastball w 1st 3rd
86,watch stock sept 17th carly fiorina earn spot big stage gop debate
87,paul dunne say imagine ball tom rinaldi head tee tomorrow
88,wrong answer applaud rahul gandhi open farce happy pm not hypocrite
89,help stop damn illegal foreign invasion america not america border enforcement immigration law
90,british value fear foreigner blame immigration woe think tell
91,uoa vine
